src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52401,2a03:2880:f22b:c5:face:b00c:0:167,443,6,10,545,20,89,54.5,34.5,1669046138.794729,1669046190.978777,52.18404793739319,1.2159347534179688e-05,28.812580108642578,5.798227548599243,10.796593399001098
192.168.1.5,52705,212.73.235.19,443,6,1,70,70,70,70,0.0,1669046138.809307,1669046138.809307,0,0,0,0,0
2a03:2880:f22b:c5:face:b00c:0:167,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52401,6,6,333,20,91,55.5,35.5,1669046138.852587,1669046190.933137,52.08054995536804,0.07061100006103516,28.92031693458557,10.416109991073608,12.803738447804056
54.175.191.205,443,192.168.1.5,61456,6,6,264,40,52,44.0,5.656854249492381,1669046138.92134,1669046206.503913,67.58257293701172,2.0281269550323486,22.540235996246338,13.516514587402344,9.395348983739153
192.168.1.5,61456,54.175.191.205,443,6,10,404,40,41,40.4,0.4898979485566356,1669046138.921473,1669046206.504044,67.58257102966309,9.059906005859375e-06,22.540378093719482,7.509174558851454,9.670710111554929
54.175.191.205,443,192.168.1.5,61463,6,6,264,40,52,44.0,5.656854249492381,1669046138.963526,1669046205.478509,66.51498293876648,1.0054020881652832,22.611888885498047,13.302996587753295,10.063491283230245
192.168.1.5,61463,54.175.191.205,443,6,11,444,40,41,40.36363636363637,0.4810456929208346,1669046138.963686,1669046205.478613,66.51492691040039,5.9604644775390625e-06,22.611945867538452,6.651492691040039,9.71038878901056
212.73.235.19,443,192.168.1.5,52705,6,1,40,40,40,40,0.0,1669046139.008143,1669046139.008143,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52508,2606:2800:157:1508:1539:174:1a75:1191,443,6,3,63,21,21,21.0,0.0,1669046139.790847,1669046184.846924,45.056077003479004,2.8133392333984375e-05,45.05604887008667,22.528038501739502,22.528010368347168
192.168.1.5,52243,66.110.49.116,443,6,19,1818,40,246,95.6842105263158,64.25447158847058,1669046139.82863,1669046180.795009,40.966378927230835,5.0067901611328125e-06,40.11055397987366,2.275909940401713,9.176747579670618
2606:2800:157:1508:1539:174:1a75:1191,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52508,6,2,64,32,32,32.0,0.0,1669046139.839407,1669046184.896344,45.05693697929382,45.05693697929382,45.05693697929382,45.05693697929382,0.0
66.110.49.116,443,192.168.1.5,52243,6,12,1231,40,150,102.58333333333333,41.423540677038005,1669046139.932755,1669046180.753595,40.82084012031555,0.0,40.218544006347656,3.710985465483232,11.545791497143654
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52577,2406:da00:ff00::22c0:3470,443,6,16,2008,20,543,125.5,164.47682207533072,1669046140.164143,1669046142.443246,2.2791028022766113,2.384185791015625e-05,1.677306890487671,0.15194018681844076,0.41034270581654664
